1,180.8671,1.647
2,4.121,0.0064
3,8.1484,0.0038
4,14.9919,0.0038
5,79.1117,0.0036
6,44.9433,0.0036
7,72.926,0.0039
8,85.4654,0.0031
9,675.7192,0.0039
10,208.6233,0.0078
11,907.122,0.0071
12,1136.9785,0.0065
13,458.482,0.0066
14,500.8184,0.0057
15,636.0889,0.0058
16,898.4616,0.0058
17,1077.5353,0.0051
18,1215.2484,0.0058
19,1431.6656,0.0165
20,1587.9563,0.008
21,1616.8445,0.0094
22,2100.667,0.0102
23,4546.2222,0.0114
24,4642.633,0.0104
25,3960.3235,0.0103
26,3102.0829,0.0101
27,4453.7257,0.0095
28,4932.1624,0.0098
29,4693.5419,0.0122
30,4850.2932,0.0121
31,6054.8092,0.0137
32,6176.3504,0.0125
33,6767.414,0.012
34,5308.6683,0.0089
35,6455.7141,0.0163
36,6324.6543,0.0292
37,6521.5576,0.0114
38,7422.0755,0.0176
39,8153.4321,0.017
40,9141.3938,0.0187
41,11459.8197,0.0199
42,10700.5067,0.0185
43,11756.2682,0.0142
44,12040.6866,0.0171
45,13493.0268,0.0132
46,15876.4404,0.0203
47,20098.8822,0.028
48,21138.2654,0.0185
49,49856.8952,0.0281
50,51615.113,0.0273
51,73847.3287,0.0253
52,41962.5655,2023.6199
53,42887.8452,0.0506
54,29642.4708,0.0182
55,40912.4515,0.0283
56,42637.6017,0.0307
57,39059.6678,0.0294
58,58195.3693,0.0373
59,42963.1868,0.0352
60,44019.7442,0.0334
61,39767.3539,0.0335
62,38301.7625,0.0315
63,38359.4751,0.0343
64,45192.6663,0.0357
65,47103.903,0.0386
66,46872.902,0.0365
67,48114.8023,0.0483
68,49535.2139,0.0523
69,57085.3526,0.0277
70,53817.7497,0.0459
71,54676.8405,0.0464
72,60676.7644,0.0389
73,58483.2133,0.0292
74,66680.3629,0.0533
75,66903.0276,0.0484
76,66832.2486,0.0499
77,74909.5002,0.051
78,77977.794,0.0544
79,80328.6022,0.0532
80,83203.7919,0.034
81,106646.2541,0.058
82,131926.4594,0.0354
83,156482.9048,0.0667
84,175520.1656,0.0436
85,141667.4505,0.0603
86,124512.3374,0.0655
87,137357.3139,0.0483
88,150637.0528,0.0683
89,138916.6162,0.0727
90,205681.4818,0.0733
91,221762.3673,0.0769
92,194824.5078,0.0792
93,187979.7692,0.0735
94,195176.8391,0.1119
95,388286.9603,0.0786
